Index #,Group,Company Name,Chemistry_Detail,Chemistry,Format,Part #,Cell Status,Cell Shape,Cycle Life,Last Cycle  OF Initial Capacity,vol. Energy Density (Wh/l),grav. Energy Density (Wh/kg),Max Capacity (AH),Open Circuit Voltage (V),Nominal Voltage (V),Cut Off Voltage (V),Standard Discharge Current (A),Max Constant Discharge Current (A),Crate_discharge_cyclelife,Weight (gr),Volume (CC),Fast/Quick Charge Current,Standard Charge Current (A),Crate_charge_cyclelife,t_rest_h,Length (mm),Height (mm),Width (mm),Diameter (mm),Jahr,Datenblatt,Sekundärquelle,ID / Date,Anmerkung,Charging Methode,Crate_CV_cutoff,t_cycle_DOD
ISI-138,ISI-138,LG Chem,Nickel rich,,PouchCase,A7,Active,PrismaticCase,'Nan','Nan',524,211,50,4.2,3.6,2.5,50,179,1,895,,50,25,1,'Nan',298,10.6,153,'Nan',2018,,x,01.05.2017,Batemo,CC-CV,'Nan','Nan'
ISI-139,ISI-139,Lishen,Nickel rich,,PrismaticCase,C‑PR51A,Active,PrismaticCase,'Nan','Nan',481,215,51,4.2,3.6,2.5,51,188,1,911,,51,25.5,1,'Nan',148,28,98,'Nan',,,x,,Batemo,CC-CV,'Nan','Nan'
ISI-140,ISI-140,LG Chem,Nickel rich,,PouchCase,E61V,Active,PrismaticCase,'Nan','Nan',641,257,61,4.2,3.6,2.5,30.5,61,0.5,875,,61,20.13,0.33,'Nan',355,11.4,110,'Nan',2019,,x,01.04.2021,Batemo,CC-CV,'Nan','Nan'
ISI-141,ISI-141,LG Chem,Nickel rich,,PouchCase,E66A,Active,PrismaticCase,'Nan','Nan',648,259,65,4.2,3.657,2.5,32.5,65,0.5,897,426,65,21.45,0.33,'Nan',350,11.7,104,'Nan',2020,,x,01.11.2020,Batemo,CC-CV,'Nan','Nan'
ISI-142,ISI-142,LG Chem,Nickel rich,,PouchCase,E63,Active,PrismaticCase,1000,80,'Nan','Nan',65.6,4.2,3.6,2.5,32.8,65.6,0.5,964,,65.6,21.648,0.33,'Nan',325,11.5,125,'Nan',2018,x,,26.02.2018,@25°C Room,CC-CV,'Nan','Nan'
ISI-143a,ISI-143,Samsung,Nickel rich,,CylindricalCase,INR21700-48X,Active,CylindricalCase,1500,70,'Nan','Nan',4.8,4.2,3.6,2.5,0.96,4.8,1,72,,4.8,1.584,1,'Nan','Nan',70,,21,,,x,2020,,CC-CV,'Nan',80
ISI-143b,ISI-143,Samsung,Nickel rich,,CylindricalCase,INR21700-48X,Active,CylindricalCase,500,70,'Nan','Nan',4.8,4.2,3.6,2.5,0.96,4.8,1,72,,4.8,1.584,1,'Nan','Nan',70,,21,,,x,2020,,CC-CV,'Nan',100
ISI-144,ISI-144,LG Chem,Nickel rich,,PouchCase,E63B,Active,PrismaticCase,1200,65,'Nan','Nan',63,4.2,3.6,2.5,31.5,63,1,882,,63,18.9,0.33,'Nan',301,14.5,100,'Nan',2018,x,,-,@25°C Room,CC-CV,'Nan','Nan'
ISI-146,ISI-146,A123,Lithium Iron Phosphate,LithiumIronPhosphate,PouchCase,20AH,Active,PrismaticCase,1000,80,'Nan','Nan',20,3.65,3.3,2.5,4,20,'Nan',496,,20,4,'Nan','Nan',227,7.25,160,'Nan',,,x,,,CC-CV,'Nan','Nan'
ISI-147,ISI-147,LG Chem,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,NX2.1,Active,PrismaticCase,1000,80,'Nan',265,60,4.2,3.6,2.5,12,120,0.33,820,,60,12,0.33,'Nan',330,16.5,100,'Nan',2020,x,x,-,@25°C Room,CC-CV,'Nan','Nan'
ISI-148,ISI-148,CALB,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,CA400,Active,PrismaticCase,2000,80,'Nan','Nan',400,3.65,3.2,2.5,120,800,0.3,13600,,400,120,0.3,'Nan',450,71,275,'Nan',,x,,-,,CC-CV,'Nan',80
ISI-149,ISI-149,CALB,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,CAM72,Active,PrismaticCase,2000,80,'Nan','Nan',72,3.65,3.2,2.5,21.6,216,0.3,1900,,72,21.6,0.3,'Nan',68,29,216,'Nan',,x,,-,,CC-CV,'Nan',80
