Index #,Group,Company Name,Chemistry_Detail,Chemistry,Format,Part #,Cell Status,Cell Shape,Cycle Life,Last Cycle  OF Initial Capacity,vol. Energy Density (Wh/l),grav. Energy Density (Wh/kg),Max Capacity (AH),Open Circuit Voltage (V),Nominal Voltage (V),Cut Off Voltage (V),Standard Discharge Current (A),Max Constant Discharge Current (A),Crate_discharge_cyclelife,Weight (gr),Volume (CC),Fast/Quick Charge Current,Standard Charge Current (A),Crate_charge_cyclelife,t_rest_h,Length (mm),Height (mm),Width (mm),Diameter (mm),Jahr,Datenblatt,Sekundärquelle,ID / Date,Anmerkung,Charging Methode,Crate_CV_cutoff,t_cycle_DOD
SDL-20223b,SDL-20223,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP857062-PCM-NTC-LD ,Active,PrismaticCase,800,80,'Nan','Nan',3.8,4.2,3.7,2.7,0.76,7.6,0.2,71.5,36.89,3.8,0.76,0.2,'Nan',70,8.5,62,'Nan',2015,x,,04.03.2015,,CC-CV,'Nan','Nan'
SDL-20224a,SDL-20224,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP50100100,Active,PrismaticCase,500,80,'Nan','Nan',4.8,4.2,3.7,2.7,0.96,9.6,0.5,96,50,4.8,0.96,0.5,'Nan',100,5,100,'Nan',2018,x,,02.11.2018,,CC-CV,'Nan','Nan'
SDL-20224b,SDL-20224,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP50100100,Active,PrismaticCase,800,80,'Nan','Nan',4.8,4.2,3.7,2.7,0.96,9.6,0.2,96,50,4.8,0.96,0.2,'Nan',100,5,100,'Nan',2018,x,,02.11.2018,,CC-CV,'Nan','Nan'
SDL-20226,SDL-20226,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP61100100,Active,PrismaticCase,500,80,'Nan','Nan',6.8,4.2,3.7,2.7,1.36,13.6,0.5,124,61,6.4,1.36,0.5,'Nan',100,6.1,100,'Nan',,x,,-,,CC-CV,'Nan','Nan'
SDL-20228a,SDL-20228,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP38103122,Active,PrismaticCase,500,80,'Nan','Nan',5.2,4.2,3.7,2.7,1.04,10.4,0.5,104,47.7508,5.2,1.04,0.5,'Nan',122,3.8,103,'Nan',2014,x,,05.11.2014,,CC-CV,'Nan','Nan'
SDL-20228b,SDL-20228,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP38103122,Active,PrismaticCase,800,80,'Nan','Nan',5.2,4.2,3.7,2.7,1.04,10.4,0.2,104,47.7508,5.2,1.04,0.2,'Nan',122,3.8,103,'Nan',2014,x,,05.11.2014,,CC-CV,'Nan','Nan'
SDL-20231,SDL-20231,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP55103122,Active,PrismaticCase,500,80,'Nan','Nan',6.6,4.2,3.7,2.7,1.32,13.2,0.5,134,69.113,3.3,1.32,0.5,'Nan',122,5.5,103,'Nan',,x,,-,,CC-CV,'Nan','Nan'
SDL-20232,SDL-20232,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP70103122,Active,PrismaticCase,500,80,'Nan','Nan',8.7,4.2,3.7,2.7,1.74,17.4,0.5,173,87.962,4.1,1.74,0.5,'Nan',122,7,103,'Nan',,x,,-,,CC-CV,'Nan','Nan'
SDL-20371a,SDL-20371,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP6848166,Active,PrismaticCase,500,80,'Nan','Nan',5.2,4.2,3.7,2.7,1.04,10.4,0.5,115,54.1824,5.2,1.04,0.5,'Nan',166,6.8,48,'Nan',2017,x,,28.07.2017,,CC-CV,'Nan','Nan'
SDL-20371b,SDL-20371,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP6848166,Active,PrismaticCase,800,80,'Nan','Nan',5.2,4.2,3.7,2.7,1.04,10.4,0.2,115,54.1824,5.2,1.04,0.2,'Nan',166,6.8,48,'Nan',2017,x,,28.07.2017,,CC-CV,'Nan','Nan'
SDL-20382,SDL-20382,Eemb Co,Lithium Cobalt Oxide,ambigious - LCO,PouchCase,LP8867220,Active,PrismaticCase,800,80,'Nan','Nan',10,4.2,3.7,2.7,2,20,1,200,129.712,10,2,1,'Nan',220,8.8,67,'Nan',2015,x,,03.02.2015,,CC-CV,'Nan','Nan'
SDL-20391,SDL-20391,ENAX,,,PouchCase,ENL-LM20,Active,PrismaticCase,400,80,'Nan','Nan',20,4.2,3.8,3,4,20,1,550,380.25,20,4,1,'Nan',325,7.5,156,'Nan',2007,x,,PR-L-02-03 ,,CC-CV,'Nan','Nan'
SDL-20392,SDL-20392,ENAX,,,PouchCase,ENW-LM08,Active,PrismaticCase,400,80,'Nan','Nan',8,4.2,3.8,3,1.66,8,1,220,141.68,8,1.66,1,'Nan',161,5.5,160,'Nan',2008,x,,PR-W-02-01 ,,CC-CV,'Nan','Nan'
SDL-20393,SDL-20393,ENAX,,,PouchCase,ENS-XE36,Active,PrismaticCase,400,80,'Nan','Nan',3.6,4.2,3.7,3,0.72,3.6,1,105,75.68,3.6,0.78,1,'Nan',160,5.5,86,'Nan',2009,x,,PR-S-03-01 ,,CC-CV,'Nan','Nan'
SDL-21234,SDL-21234,Neosonic Li-Polymer Energy,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,PouchCase,KMBNK08035130S,Active,PrismaticCase,1000,80,'Nan','Nan',4.9,4.2,3.7,3,0.98,4.9,0.2,90,40.04,4.9,0.98,0.5,'Nan',130,8.8,35,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-21235,SDL-21235,Neosonic Li-Polymer Energy,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,PouchCase,KMBNS08035130S,Active,PrismaticCase,1000,80,'Nan','Nan',4.5,4.2,3.7,3,0.9,4.5,0.5,90,40.04,4.5,0.9,0.5,'Nan',130,8.8,35,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-21236,SDL-21236,Neosonic Li-Polymer Energy,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,PouchCase,KMBNK06035195S,Active,PrismaticCase,1000,80,'Nan','Nan',5,4.2,3.7,3,1,5,0.2,100,40.95,5,1,0.5,'Nan',195,6,35,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-21237,SDL-21237,Neosonic Li-Polymer Energy,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,PouchCase,KMBNS06035195S,Active,PrismaticCase,1000,80,'Nan','Nan',4.6,4.2,3.7,3,0.92,4.6,0.5,100,40.95,4.6,0.92,0.5,'Nan',195,6,35,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-21238,SDL-21238,Neosonic Li-Polymer Energy,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,PouchCase,KMBNK06065108S,Active,PrismaticCase,500,80,'Nan','Nan',5.1,4.2,3.7,3,1.02,5.1,0.5,95,42.12,5.1,1.02,0.5,'Nan',108,6,65,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-21239,SDL-21239,Neosonic Li-Polymer Energy,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,PouchCase,KMBNS06065108S,Active,PrismaticCase,500,80,'Nan','Nan',4.7,4.2,3.7,3,0.94,4.7,0.5,95,42.12,4.7,0.94,0.5,'Nan',108,6,65,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-21240,SDL-21240,Neosonic Li-Polymer Energy,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,PouchCase,KMBNK45065144S,Active,PrismaticCase,1000,80,'Nan','Nan',5,4.2,3.7,3,1,5,0.5,125,42.12,5,1,0.5,'Nan',144,4.5,65,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-21241,SDL-21241,Neosonic Li-Polymer Energy,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,PouchCase,KMBNS45065144S,Active,PrismaticCase,500,80,'Nan','Nan',4.6,4.2,3.7,3,0.92,4.6,0.5,125,42.12,4.6,0.92,0.5,'Nan',144,4.5,65,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-21778,SDL-21778,LECLANCHÉ,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,904823,Active,PrismaticCase,500,80,273,125,22,4.2,3.7,3,4.4,66,'Nan',650,297.3894,22,4.4,'Nan','Nan',157,12.3,154,'Nan',,x,,Datenblatt_904823_v01_eng.doc,,CC-CV,'Nan','Nan'
SDL-22152,SDL-22152,GS Yuasa Technology,Nickel rich,LithiumNickelManganeseCobaltOxide,PrismaticCase,LVP65,Active,PrismaticCase,500,80,232,101,75,4.2,3.7,3,15,325,'Nan',2750,1174.8,75,15,'Nan','Nan',178,50,132,'Nan',,x,,-,,CC-CV,'Nan','Nan'
SDL-22176a,SDL-22176,EAS Batteries,Nickel rich,LithiumNickelCobaltAluminiumOxide,CylindricalCase,HE-602030 NCA 55AH,Active,CylindricalCase,1000,80,'Nan','Nan',55,4.2,3.6,3,27.5,110,0.5,1500,573.678,110,11,0.5,'Nan','Nan',203,,60,2016,x,,Rev. 1.1/1.2,,CC-CV,'Nan',100
SDL-22176b,SDL-22176,EAS Batteries,Nickel rich,LithiumNickelCobaltAluminiumOxide,CylindricalCase,HE-602030 NCA 55AH,Active,CylindricalCase,2000,60,'Nan','Nan',55,4.2,3.6,3,27.5,110,0.5,1500,573.678,110,11,0.5,'Nan','Nan',203,,60,2016,x,,Rev. 1..1/1.2,,CC-CV,'Nan',80
SDL-22254,SDL-22254,Saft,Lithium Iron Phosphate,LithiumIronPhosphate,CylindricalCase,VL 45E FE,Active,CylindricalCase,2500,75,'Nan','Nan',44,3.65,3.3,2.5,6.285714286,50,1.2,900,476.1245,25,6.285714286,0.15,'Nan','Nan',208,,54,2010,x,,,,CC-CV,'Nan','Nan'
SDL-22408,SDL-22408,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VL 5U,Active,CylindricalCase,500,80,'Nan','Nan',5,4.1,3.65,2,1,2,1,350,158.8055,5,1,1,'Nan','Nan',175,,34,2009,x,,10.2009,,CC-CV,'Nan','Nan'
SDL-22470a,SDL-22470,EAS Batteries,Nickel rich,LithiumNickelCobaltAluminiumOxide,CylindricalCase,UHP-341440 NCA,Active,CylindricalCase,1000,80,'Nan','Nan',7.5,4.2,3.6,3,1.5,75,0.2,320,130.6742,75,3.8,0.2,'Nan','Nan',144,,34,2008,,x,12.12.2008,,CC-CV,'Nan',100
SDL-22470b,SDL-22470,EAS Batteries,Nickel rich,LithiumNickelCobaltAluminiumOxide,CylindricalCase,UHP-341440 NCA,Active,CylindricalCase,2000,60,'Nan','Nan',7.5,4.2,3.6,3,1.5,75,0.2,320,130.6742,75,3.8,0.2,'Nan','Nan',144,,34,2008,,x,12.12.2008,,CC-CV,'Nan',80
SDL-23011,SDL-23011,Battronix,,,PouchCase,LCB8570170EC1,Active,PrismaticCase,500,70,460,215,12.6,4.2,3.7,3,2.52,25.2,0.5,217,101.15,12.6,2.52,0.5,'Nan',170,8.5,70,'Nan',2009,x,,12.09.2009,,CC-CV,'Nan',70
SDL-23066a,SDL-23066,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP40AHA,Active,PrismaticCase,5000,80,'Nan','Nan',40,3.65,3.3,2.5,12,120,0.5,1500,976.488,120,20,0.5,'Nan',183,46,116,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-23066b,SDL-23066,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP40AHA,Active,PrismaticCase,7000,80,'Nan','Nan',40,3.65,3.3,2.5,12,120,0.5,1500,976.488,120,20,0.5,'Nan',183,46,116,'Nan',,x,,-,,CC-CV,'Nan',70
SDL-23067a,SDL-23067,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP60AHA,Active,PrismaticCase,5000,80,'Nan','Nan',60,3.65,3.3,2.5,30,180,0.5,2100,1424.045,180,30,0.5,'Nan',203,61,115,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-23067b,SDL-23067,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP60AHA,Active,PrismaticCase,7000,80,'Nan','Nan',60,3.65,3.3,2.5,30,180,0.5,2100,1424.045,180,30,0.5,'Nan',203,61,115,'Nan',,x,,-,,CC-CV,'Nan',70
SDL-23068a,SDL-23068,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP90AHA,Active,PrismaticCase,5000,80,'Nan','Nan',90,3.65,3.3,2.5,45,270,0.5,2900,1901.614,270,45,0.5,'Nan',218,61,143,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-23068b,SDL-23068,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP90AHA,Active,PrismaticCase,7000,80,'Nan','Nan',90,3.65,3.3,2.5,45,270,0.5,2900,1901.614,270,45,0.5,'Nan',218,61,143,'Nan',,x,,-,,CC-CV,'Nan',70
SDL-23069a,SDL-23069,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP100AHA,Active,PrismaticCase,5000,80,'Nan','Nan',100,3.65,3.3,2.5,50,300,0.5,3500,1945.9,300,50,0.5,'Nan',220,61,145,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-23069b,SDL-23069,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP100AHA,Active,PrismaticCase,7000,80,'Nan','Nan',100,3.65,3.3,2.5,50,300,0.5,3500,1945.9,300,50,0.5,'Nan',220,61,145,'Nan',,x,,-,,CC-CV,'Nan',70
SDL-23070a,SDL-23070,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP160AHA,Active,PrismaticCase,5000,80,'Nan','Nan',160,3.65,3.3,2.5,80,480,0.5,5600,3803.8,480,80,0.5,'Nan',280,65,209,'Nan',,x,,,,CC-CV,'Nan',80
SDL-23070b,SDL-23070,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP160AHA,Active,PrismaticCase,7000,80,'Nan','Nan',160,3.65,3.3,2.5,80,480,0.5,5600,3803.8,480,80,0.5,'Nan',280,65,209,'Nan',,x,,,,CC-CV,'Nan',70
SDL-23071a,SDL-23071,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP200AHA,Active,PrismaticCase,5000,80,'Nan','Nan',200,3.65,3.3,2.5,100,600,0.5,7900,5001.1332,600,100,0.5,'Nan',362,55.55,248.7,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-23071b,SDL-23071,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP200AHA,Active,PrismaticCase,7000,80,'Nan','Nan',200,3.65,3.3,2.5,100,600,0.5,7900,5001.1332,600,100,0.5,'Nan',362,55.55,248.7,'Nan',,x,,-,,CC-CV,'Nan',70
SDL-23072a,SDL-23072,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP260AHA,Active,PrismaticCase,5000,80,'Nan','Nan',260,3.65,3.3,2.5,130,780,0.5,8700,5525.025,780,130,0.5,'Nan',362,55.5,275,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-23072b,SDL-23072,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP260AHA,Active,PrismaticCase,7000,80,'Nan','Nan',260,3.65,3.3,2.5,130,780,0.5,8700,5525.025,780,130,0.5,'Nan',362,55.5,275,'Nan',,x,,-,,CC-CV,'Nan',70
SDL-23073a,SDL-23073,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP300AHA,Active,PrismaticCase,5000,80,'Nan','Nan',300,3.65,3.3,2.5,150,900,0.5,9500,6147.846,900,150,0.5,'Nan',362,55.5,306,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-23073b,SDL-23073,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP300AHA,Active,PrismaticCase,7000,80,'Nan','Nan',300,3.65,3.3,2.5,150,900,0.5,9500,6147.846,900,150,0.5,'Nan',362,55.5,306,'Nan',,x,,-,,CC-CV,'Nan',70
SDL-23074a,SDL-23074,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP400AHA,Active,PrismaticCase,5000,80,'Nan','Nan',400,3.65,3.3,2.5,200,1200,0.5,13100,8540.025,1200,200,0.5,'Nan',461,65,285,'Nan',,x,,,,CC-CV,'Nan',80
SDL-23074b,SDL-23074,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP400AHA,Active,PrismaticCase,7000,80,'Nan','Nan',400,3.65,3.3,2.5,200,1200,0.5,13100,8540.025,1200,200,0.5,'Nan',461,65,285,'Nan',,x,,,,CC-CV,'Nan',70
SDL-23075a,SDL-23075,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP700AHA,Active,PrismaticCase,5000,80,'Nan','Nan',700,3.65,3.3,2.5,350,2100,0.5,21000,12854.754,2100,350,0.5,'Nan',627,67,306,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-23075b,SDL-23075,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP700AHA,Active,PrismaticCase,7000,80,'Nan','Nan',700,3.65,3.3,2.5,350,2100,0.5,21000,12854.754,2100,350,0.5,'Nan',627,67,306,'Nan',,x,,-,,CC-CV,'Nan',70
SDL-23076a,SDL-23076,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP1000AHA,Active,PrismaticCase,5000,80,'Nan','Nan',1000,3.65,3.3,2.5,500,3000,0.5,35000,22631.25,3000,500,0.5,'Nan',850,71,375,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-23076b,SDL-23076,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP1000AHA,Active,PrismaticCase,7000,80,'Nan','Nan',1000,3.65,3.3,2.5,500,3000,0.5,35000,22631.25,3000,500,0.5,'Nan',850,71,375,'Nan',,x,,-,,CC-CV,'Nan',70
SDL-23077a,SDL-23077,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP1000AHC,Active,PrismaticCase,5000,80,'Nan','Nan',1000,3.65,3.2,2.5,500,3000,0.5,41000,25916.8,3000,500,0.5,'Nan',560,130,356,'Nan',,x,,-,,CC-CV,'Nan',80
SDL-23077b,SDL-23077,Thunder-Sky,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,WB-LYP1000AHC,Active,PrismaticCase,7000,80,'Nan','Nan',1000,3.65,3.2,2.5,500,3000,0.5,41000,25916.8,3000,500,0.5,'Nan',560,130,356,'Nan',,x,,-,,CC-CV,'Nan',70
SDL-23220,SDL-23220,Optimum Battery Co Ltd,Lithium Iron Phosphate,LithiumIronPhosphate,CylindricalCase,OPT-32650F,Active,CylindricalCase,2000,80,'Nan','Nan',5,3.65,3.2,2.5,5,10,1,145,54.3698,5,1,1,'Nan','Nan',70,,32.2,,x,,-,,CC-CV,'Nan','Nan'
SDL-23256,SDL-23256,Chengdu Jianzhong Lithium Battery Company Ltd,Lithium Cobalt Oxide,LCO,CylindricalCase,ICR26650,Active,CylindricalCase,300,80,'Nan','Nan',4,4.2,3.7,3,0.64,4,'Nan',90,34.4929,4,0.8,'Nan','Nan','Nan',65,,26,2015,,x,17.07.2015,,CC-CV,'Nan','Nan'
SDL-23257,SDL-23257,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB11543140H5,Active,PrismaticCase,800,80,'Nan',140,5,4.2,3.7,2.7,2.5,150,1,128,72.5254,10.4,2,1,'Nan',142.5,11.7,43.5,'Nan',2017,,x,-,Paper,CC-CV,'Nan','Nan'
SDL-23465,SDL-23465,Auto Energy Technology Co,Lithium Titanate,LithiumTitanate,CylindricalCase,YT185185185,Active,CylindricalCase,2000,80,'Nan','Nan',40,2.7,2.4,1.5,65,120,'Nan',1650,902.3575,120,8,'Nan','Nan','Nan',380,,55,2013,x,,,,CC-CV,'Nan','Nan'
SDL-23541,SDL-23541,EnerDel. INC,,,PouchCase,HEV CELL,Active,PrismaticCase,1000,80,'Nan','Nan',16,4.1,3.6,2.5,3.5,80,'Nan',446,293.2776,80,3.5,'Nan','Nan',253,6.3,184,'Nan',2012,x,,24.05.2012,,CC-CV,'Nan','Nan'
SDL-23543a,SDL-23543,Headway Group,Lithium Iron Phosphate,LithiumIronPhosphate,CylindricalCase,HW38120S/L,Active,CylindricalCase,2000,80,'Nan','Nan',10,3.65,3.2,2,10,30,1,330,138.2919,20,10,1,'Nan','Nan',122,,38,,x,,-,,CC-CV,'Nan','Nan'
SDL-23543b,SDL-23543,Headway Group,Lithium Iron Phosphate,LithiumIronPhosphate,CylindricalCase,HW38120S/L,Active,CylindricalCase,1500,80,'Nan','Nan',10,3.65,3.2,2,10,30,3,330,138.2919,20,10,1,'Nan','Nan',122,,38,,x,,-,,CC-CV,'Nan','Nan'
SDL-23544a,SDL-23544,Headway Group,Lithium Iron Phosphate,LithiumIronPhosphate,CylindricalCase,HW38140S,Active,CylindricalCase,2000,80,'Nan','Nan',12,3.65,3.2,2,12,36,1,395,160.9627,24,12,1,'Nan','Nan',142,,38,,x,,-,,CC-CV,'Nan','Nan'
SDL-23544b,SDL-23544,Headway Group,Lithium Iron Phosphate,LithiumIronPhosphate,CylindricalCase,HW38140S,Active,CylindricalCase,1500,80,'Nan','Nan',12,3.65,3.2,2,12,36,3,395,160.9627,24,12,1,'Nan','Nan',142,,38,,x,,-,,CC-CV,'Nan','Nan'
SDL-23547a,SDL-23547,Headway Group,Lithium Iron Phosphate,LithiumIronPhosphate,CylindricalCase,HW40152S,Active,CylindricalCase,2000,80,'Nan','Nan',15,3.65,3.2,2,15,45,1,475,207.24,30,7.5,1,'Nan','Nan',165,,40,,x,,-,,CC-CV,'Nan','Nan'
SDL-23547b,SDL-23547,Headway Group,Lithium Iron Phosphate,LithiumIronPhosphate,CylindricalCase,HW40152S,Active,CylindricalCase,1500,80,'Nan','Nan',15,3.65,3.2,2,15,45,3,475,207.24,30,7.5,1,'Nan','Nan',165,,40,,x,,-,,CC-CV,'Nan','Nan'
SDL-2494,SDL-2494,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VES100,Active,CylindricalCase,500,80,'Nan',118,28,4.1,3.6,2.75,2.8,84,'Nan',810,423.4761,28,2.8,'Nan','Nan','Nan',185,,54,2006,x,,-,,CC-CV,'Nan','Nan'
SDL-2495,SDL-2495,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VES140,Active,CylindricalCase,500,80,'Nan',126,39,4.1,3.6,2.75,3.9,117,'Nan',1130,572.265,39,3.9,'Nan','Nan','Nan',250,,54,2006,x,,-,,CC-CV,'Nan','Nan'
SDL-2496,SDL-2496,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VES180,Active,CylindricalCase,500,80,'Nan',165,50,4.1,3.6,2.75,5,150,'Nan',1110,551.2663,50,5,'Nan','Nan','Nan',250,,53,2006,x,,-,,CC-CV,'Nan','Nan'
SDL-2500,SDL-2500,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,PrismaticCase,MP174865,Active,PrismaticCase,500,70,380,163,5.3,4.2,3.75,2.5,1.1,11,'Nan',124,52,5,0.58,'Nan','Nan',65,19,48,'Nan',2007,x,,11.2007,,CC-CV,'Nan','Nan'
SDL-2502,SDL-2502,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,PrismaticCase,MP176065,Active,PrismaticCase,500,70,350,165,6.8,4.2,3.75,2.5,1.4,13.6,'Nan',155,73,6.8,0.58,'Nan','Nan',65,19.8,61,'Nan',2005,x,,03.2005,,CC-CV,'Nan','Nan'
SDL-2503,SDL-2503,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VL 45E,Active,CylindricalCase,500,80,313,149,45,4.1,3.6,2.7,4.5,100,'Nan',1070,510,45,4.5,'Nan','Nan','Nan',222,,54.3,2005,x,,03.2005,,CC-CV,'Nan','Nan'
SDL-2504,SDL-2504,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VL 41M,Active,CylindricalCase,500,80,285,136,41,4.1,3.6,2.7,4.5,150,0.33,1070,513.8334,41,4.5,0.33,'Nan','Nan',222,,54.3,2005,x,,03.2005,,CC-CV,'Nan',80
SDL-2505,SDL-2505,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VL 27M,Active,CylindricalCase,500,80,252,124,27,4.1,3.6,2.7,2.7,110,0.33,770,377.274,27,2.7,0.33,'Nan','Nan',163,,54.3,2005,x,,03.2005,,CC-CV,'Nan',80
SDL-2506,SDL-2506,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VL 7P,Active,CylindricalCase,500,80,131,67,7,4.1,3.6,2.7,0.7,100,'Nan',370,191.3398,7,0.7,'Nan','Nan','Nan',145,,41,2005,x,,03.2005,,CC-CV,'Nan','Nan'
SDL-2507,SDL-2507,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VL 20P,Active,CylindricalCase,500,80,187,89,20,4.1,3.6,2.7,2,250,'Nan',800,373.1168,20,2,'Nan','Nan','Nan',163,,54,2005,x,,03.2005,,CC-CV,'Nan','Nan'
SDL-2508,SDL-2508,Saft,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,CylindricalCase,VL 30P,Active,CylindricalCase,500,80,209,97,30,4.1,3.6,2.7,3,300,'Nan',1100,508.1713,30,3,'Nan','Nan','Nan',222,,54,2005,x,,03.2005,,CC-CV,'Nan','Nan'
SDL-2524,SDL-2524,Quallion LLC,Nickel rich,LNCAO,PrismaticCase,QL015KA,Active,PrismaticCase,3000,80,296,142,15,4.2,3.6,2.7,15,15,'Nan',380,180.4631,15,1.5,'Nan','Nan',88.3,37.5,54.5,'Nan',,x,,-,,CC-CV,'Nan','Nan'
SDL-25474,SDL-25474,Guangzhou FULLRIVER Battery New Technology Co,Lithium Iron Phosphate,LithiumIronPhosphate,CylindricalCase,32700Fe5400,Active,CylindricalCase,1000,80,'Nan','Nan',5.4,3.7,3.2,2,1.08,5.4,'Nan',143,58.9668,5.4,1.08,'Nan','Nan','Nan',72,,32.3,2012,x,,06.2012,,CC-CV,'Nan','Nan'
